minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1
1035,1.7442982401733793,0.8128455784533488,1.5774901009401145,2.917356559974864
1036,1.4237920897216987,0.8337392716520411,1.2868562286805996,2.726642158933667
1037,1.591056989627034,1.309333150482778,1.346548764818749,1.6967968923498293
1038,2.2294112607929946,1.5723007150766488,1.460850356328496,2.388310666745558
1039,1.7838992641589648,2.147007277377366,1.2239650309334595,1.8868384500856212
1040,1.3813508876735354,1.6979560162742595,1.3784305479671486,1.1450844522152472
1041,1.779156472332294,2.408010694148888,1.4281604626443967,1.385695740294725
1042,1.3298131991368747,2.428502585274836,1.3042583773880085,1.1408448038013441
1043,1.8431838583726308,2.182087794602711,1.7823034563498998,1.115638790311898
1044,1.48912251502614,2.069781938073105,1.371042111489311,1.2198535070697756
1045,1.4688471692364806,1.8671443777572712,1.4191168650285286,1.3459337639454005
1046,3.0877256585667108,4.182759276072825,4.217471439350315,3.1527406658932056
