minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,cp
1054,6.903224346700833,5.0001792419244815,9.800551978541492,2.9313704062708554,0.0
1055,5.18929806781667,3.493858358572248,6.885598573539754,1.860620362088318,0.0
1056,5.829639314352102,3.763003114597553,7.485833122411616,2.412385291185445,0.0
1057,7.693905678414405,5.00231456804677,10.254712054927273,3.2068805926499664,0.0
1058,4.7504097718682265,3.677185357007518,7.4277673587587465,2.0567359543415957,0.0
1059,4.457150894982624,2.9609782259407704,5.9316601506852065,1.931578781178856,0.0
1060,6.701081206011676,4.306379828738333,10.734236386198312,2.7747122637197266,0.0
1061,6.849035612087994,4.746107766341624,7.813682145561166,2.388457741866978,0.0
1062,6.349519848866151,4.451838136122123,8.165615384864724,2.9302903445317163,0.0
1063,4.337864262849744,3.02088666156746,7.777352428574594,1.9044168949587097,0.0
1064,4.989780331055853,2.7919749232080187,7.37540888033366,1.6562069117755782,0.0
1065,3.322016327966259,2.0616908702538383,4.64910318330247,1.3143972567128948,0.0
