minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,cp
1054,1.6166666666666667,2.2,1.7666666666666666,2.2666666666666666,0.0
1055,2.5833333333333335,1.7833333333333334,3.1333333333333333,1.85,0.0
1056,1.8833333333333333,1.5666666666666667,2.45,1.85,0.0
1057,2.0,1.4833333333333334,1.95,1.9833333333333334,0.0
1058,2.4,1.9833333333333334,3.8666666666666667,2.2666666666666666,0.0
1059,2.683333333333333,2.1333333333333333,3.783333333333333,2.683333333333333,0.0
1060,1.9166666666666667,1.8666666666666667,2.45,1.95,0.0
1061,2.3833333333333333,2.1,2.783333333333333,1.9,0.0
1062,2.2333333333333334,2.0166666666666666,3.6166666666666667,2.45,0.0
1063,2.3,2.4166666666666665,6.35,3.1666666666666665,0.0
1064,2.55,1.7666666666666666,7.7,2.1166666666666667,0.0
1065,1.7833333333333334,1.4666666666666666,6.5,1.8,0.0
