minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,cp
1054,16.358787424079885,12.928249390975877,15.944845985331543,23.67946619774348,0.0
1055,17.782265897664516,13.062876017954935,16.199098796266018,21.7339338105495,0.0
1056,16.14286737784355,11.369165758123327,14.231471450011782,22.771296219730058,0.0
1057,17.38427147640996,12.332060972121365,15.907567646550397,24.699861296496934,0.0
1058,16.100318853399674,13.597966048801945,17.28352679722909,23.762056874475885,0.0
1059,15.7844258846809,11.440939628339324,14.421764006438499,23.31771374801453,0.0
1060,17.567234960021228,12.317594100777173,19.319698965393904,24.795825439977143,0.0
1061,18.68085923686384,14.124076004982353,14.631667895888143,22.206855827724834,0.0
1062,16.85047062197442,12.89037472031663,14.877526784341788,26.508422956441184,0.0
1063,16.694881328667353,12.685185918692348,20.5499054678917,24.984547671790494,0.0
1064,17.630179589878125,10.763210893173278,17.890895639089084,19.9476614949895,0.0
1065,16.616563449450815,11.251696844023042,15.965381610280787,22.411358308572776,0.0
