minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,cp
1054,13.991347600987982,8.556065392484559,12.498773820366416,18.814335717531165,0.0
1055,16.01284368303709,9.102194376831475,13.369367496591114,18.181438787738486,0.0
1056,13.631118721515426,7.42857233219526,11.013852866094409,17.862700568497743,0.0
1057,13.648921358496624,7.492097765796114,11.446804297026551,18.015440864518293,0.0
1058,14.281999389612112,9.333712560026973,14.05159240115419,19.581551903611775,0.0
1059,13.494102006887344,7.56837825146649,11.299838233359926,18.51866643067417,0.0
1060,15.11625752865935,8.201488825782217,15.236312456413794,19.82111066927683,0.0
1061,16.94815972815396,9.915432967641424,12.16629040078305,18.716356864670644,0.0
1062,14.063967460480299,8.325058556666532,11.380601116601847,20.553616702087808,0.0
1063,14.366013477577086,8.44647899807772,16.206954193550047,19.97252476438937,0.0
1064,14.746827224759397,6.966419807862459,13.715529583355638,15.500381576583422,0.0
1065,14.571559205667343,7.634995298157557,12.831657579928052,18.2575096113368,0.0
