minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,cp
1054,1.0534534833333333,1.0256669666666665,1.2246026666666665,1.3448422166666665,0.0
1055,1.7079082500000005,0.9148769,2.227790016666667,1.1104557166666666,0.0
1056,1.126546033333333,0.6942634833333335,1.549820666666667,1.1273576833333334,0.0
1057,1.2669107,0.6854308833333332,1.2458502333333332,1.1103930666666668,0.0
1058,1.58864045,1.058321666666667,2.6781466500000004,1.433329833333333,0.0
1059,1.7458795166666665,1.034082216666667,2.6261089999999996,1.6193331500000003,0.0
1060,1.2213458833333328,0.8835687666666665,1.7269828333333337,1.2448061666666663,0.0
1061,1.6485411833333337,1.1207885166666667,1.8789557666666665,1.1860178666666668,0.0
1062,1.4403801333333335,0.9795249166666663,2.454811783333333,1.647201316666667,0.0
1063,1.6464004833333334,1.3611722166666669,4.934914899999999,2.208121866666667,0.0
1064,1.8171506000000002,0.8741330166666669,5.890916466666666,1.4211068000000004,0.0
1065,1.2748221833333335,0.8437103833333334,4.906330300000001,1.2569367166666663,0.0
