,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,pyaes-0-0.0.1,cp
0,63.207209,61.54001799999998,73.47616,80.69053299999999,0.0
1,102.47449500000003,54.892614,133.667401,66.627343,0.0
2,67.59276199999998,41.65580900000001,92.98924000000002,67.641461,0.0
3,76.014642,41.12585299999999,74.751014,66.62358400000001,0.0
4,95.318427,63.49930000000002,160.68879900000002,85.99978999999999,0.0
5,104.752771,62.044933000000015,157.56653999999997,97.15998900000002,0.0
6,73.28075299999998,53.01412599999999,103.61897000000002,74.68836999999998,0.0
7,98.91247100000002,67.247311,112.73734599999999,71.161072,0.0
8,86.422808,58.77149499999998,147.288707,98.83207900000002,0.0
9,98.784029,81.67033300000001,296.09489399999995,132.48731200000003,0.0
10,109.029036,52.44798100000001,353.45498799999996,85.26640800000003,0.0
11,76.489331,50.622623000000004,294.37981800000006,75.41620299999998,0.0
