,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
0,57.23316700000001,173.90644899999998,8.586779
1,53.612658999999994,177.626883,8.491904
2,70.54943799999998,161.90252600000002,7.2617790000000015
3,48.288339,185.15662500000005,5.7330879999999995
4,38.57548699999999,195.59708700000004,5.600168
5,38.361913,197.41382300000004,4.014002
6,51.216404999999995,182.92778099999998,5.621264999999999
7,56.63927800000002,177.48827599999998,5.626645000000001
8,53.29175700000001,180.90014799999994,5.5676689999999995
9,61.405844,170.69158400000006,7.6319180000000015
10,32.049987,203.74147900000003,4.0002059999999995
11,62.532879,172.04356000000004,5.17907
12,81.263591,144.74022899999997,13.639244999999999
13,71.66390699999998,160.89845599999998,7.160995000000001
14,41.53213499999999,187.792575,10.394071999999998
15,45.68577200000001,186.422875,7.633127
16,42.601352000000006,185.736617,10.792846999999997
17,60.295129,172.155369,7.287267
18,22.46984,61.516884,3.215177
