,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1
0,89.0,176.0,93.0
1,87.0,221.0,108.0
2,96.0,270.0,103.0
3,52.0,275.0,107.0
4,0.0,233.0,82.0
