minutes,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
1210,34.68288571462474,4.126640694697741,13.772365622287072,20.63750734558785
1211,35.78980085956789,4.156713490799118,12.042305666952469,20.862333345617092
1212,30.06711839002315,4.5899901588387175,14.851596207588717,13.367818009671039
1213,26.301149000812988,5.1032677328506155,14.666033029525208,21.092129595249155
1214,25.602505261325806,7.703383688574654,13.2067829443585,20.760650182655972
1215,30.054097697251958,6.819372511605914,12.307712923986095,13.348369777474426
1216,29.419475428577844,9.398056610339811,14.376867348833011,15.475506338469575
1217,28.8169773263877,9.124621380376622,11.165209344393968,11.8449481493725
1218,41.888883487192054,6.412610827651782,17.22773884255474,13.087021083250182
1219,34.937319170343,8.454782275463963,16.801223073860033,17.409484836638246
1220,35.29621687110161,6.579496714428042,17.0308566369916,18.254232763858774
1221,82.61746605280874,10.87668612341659,24.9592628796675,23.323968657453733
