minutes,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
945,1.9169721286354533,5.0511431644779865,4.268117069748979
946,1.7249669336200488,4.975874320407248,5.833348540568733
947,1.7447046999387232,4.556183506152914,4.709938660082709
948,1.6357527121251414,7.754963555896509,6.124344948401001
949,1.1099752146519402,,7.199400540892053
