minutes,image_processing-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
1045,1.9,0.13333333333333333,2.533333333333333
1046,1.5333333333333334,0.5333333333333333,2.55
1047,1.5166666666666666,0.18333333333333332,3.466666666666667
1048,1.8333333333333333,0.5666666666666667,2.6166666666666667
1049,1.65,1.05,2.4166666666666665
1050,1.35,0.6666666666666666,2.7666666666666666
1051,1.7333333333333334,0.3,2.8666666666666667
1052,1.8333333333333333,0.36666666666666664,2.716666666666667
1053,1.4333333333333333,0.5833333333333334,1.6333333333333333
1054,1.85,0.65,2.6
1055,1.4666666666666666,0.2833333333333333,2.6333333333333333
