minutes,image_processing-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
1045,5.096032770292176,6.262485320776345,7.187717799443287
1046,4.978053649768983,6.741127880323423,7.153016521299379
1047,4.78943696918548,5.667217265640777,7.388289368785411
1048,4.896147736981004,9.152591247807743,7.688235701743423
1049,4.865980919192118,10.681235758189521,7.466439722752247
1050,4.54367664440221,13.774906098458825,7.561906949535688
1051,4.96808616145152,11.819623800465296,7.385511387186114
1052,4.92942731624165,16.60644925447063,7.227434930618424
1053,4.607344615798305,16.22150525804241,7.276827986590439
1054,4.88533599168274,16.82737503387053,7.4512846594376185
1055,4.957530587110202,19.08955076226469,7.681773995870681
