,image_processing-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
0,82.298421,5.8650009999999995,121.02478100000002
1,67.484953,24.110242,121.69142199999999
2,66.426633,8.772192,163.89694999999998
3,80.09275500000001,27.644912,124.75936099999997
4,71.92461399999999,52.755126000000004,114.83244600000002
5,57.756936999999986,34.322402,133.76169000000004
6,76.80967400000002,15.238911,134.33955100000003
7,82.30759199999999,20.116923,127.92362999999997
8,62.498363000000005,31.099580000000003,76.59810300000001
9,81.78827600000001,34.700125,122.868911
10,64.695655,15.329894000000001,123.86019399999999
