minutes,image_processing-0-0.0.1,cnn_image_classification_gpu-0-0.0.1,pyaes-0-0.0.1
1045,13.155685761901767,14.321610560718378,17.389565714576822
1046,13.156124846431066,15.579446833467475,17.160931741358514
1047,12.449670604731201,12.94400005867317,17.56069540470754
1048,12.65538046927398,21.238749522092284,18.14450515059295
1049,12.5045151608205,24.29195102837632,17.50814580827234
1050,11.661275522939317,32.36036775132278,17.606355111291702
1051,12.662002748063058,28.143738259700452,17.23038868146448
1052,12.542572234065013,38.86955932315499,16.924566163871795
1053,11.910709553733303,40.976120180527396,17.371343898433597
1054,12.491093341370668,41.006963186151026,17.675300642541664
1055,12.645290088520376,45.68484510613954,18.067217624689587
