minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
1239,3.762562853845611,7.215846605486688,1.21619425702683,2.60456854182114
1240,4.387625333043363,6.4981519650293755,2.6053364414790776,5.364476804756231
1241,2.6661844737452087,12.455321728792851,3.036888544541354,3.800728935030245
1242,2.347385257404763,5.90792320761427,2.883613393626726,1.9249248402817414
1243,1.8616972205693822,7.68677339751096,3.464961351532233,1.6996762244917596
1244,1.701386701577984,4.198208967431221,2.1806663133573205,4.241765121400825
1245,2.5338312435362993,5.275586898993913,3.9892104549761664,0.8760878318971465
1246,2.0880748438553964,5.677781538003584,1.8090579495072427,1.6706842200824994
1247,1.8248396438506926,3.0084852085976075,1.929083354151361,3.3610736563620534
1248,0.608921252218688,1.9557019351404967,1.1044066492258098,0.7151963551806103
1249,0.2299772029100949,0.6489087821026988,1.3958417746093388,-0.6950440636117422
1250,1.5449934135572259,2.5450480154500754,1.631184636814708,3.4150861213446864
1251,2.999552969477471,6.234228211497646,2.906638783436964,3.5890243532624093
1252,2.4160231224885482,6.365932806057086,2.103827500023741,6.233455851348378
1253,3.3343116750527177,7.487166101089757,1.280956221241548,2.891280572651814
1254,3.3020506657059125,6.566027148096453,2.3009753373537793,7.079439276148552
1255,5.21715661763284,6.8336398959700855,2.349988067687379,2.5122592725127535
1256,1.8026423500860356,3.492753925872555,2.9124883644132833,5.462342075142367
1257,4.68225544955316,7.485833243692643,2.8827880860216073,3.6596925200184267
1258,1.4300214084548664,10.421706260451119,2.7129189202753383,2.373524383138405
1259,2.287861686150241,10.450523522020662,4.428165015645597,5.945698809980126
1260,,9.343913044174045,4.832034163524116,3.3068122594694747
1261,,9.776484990778435,2.918841599764081,6.20073314744925
