minutes,pyaes-0-0.0.1,video_processing-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1167,37.48114192133727,24.52850892467669,21.9682285861289,11.610122759396853
1168,34.59263128725822,19.465406705889475,21.71108816651882,13.213015691324818
1169,26.894183783184484,21.3733667693385,22.5029807104146,13.54011337680797
1170,30.226053568034988,22.707112311674297,17.651154586025033,11.208710709150818
1171,25.48077315374319,20.372091887667732,12.652336181661754,12.100124978717162
1172,31.607421970325454,21.58073916035598,25.370159986072046,6.517667551227875
1173,28.260066984037568,23.897250052175888,22.588924557640272,4.823541328323596
1174,35.25065538051022,20.45603409299832,23.425964427484004,10.906398356484404
1175,34.843045018375435,21.564955420990724,26.41929150706122,12.954039568146381
1176,32.08105432091522,24.9280720091231,22.15607775153302,11.989458604533576
1177,31.665772292407244,23.216941601159363,30.313302219816155,8.740523663292366
1178,28.079260494945622,20.4265260893202,22.822404772277217,9.166399671619354
1179,27.064051667108952,4.001957131122009,20.09602664436862,3.3382106944279486
