minutes,dd-0-0.0.1,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1028,94.70799516953915,15.090758598398853,45.88180873545183,68.67117417345096
1029,94.93344619795907,10.59609632677408,59.70041733641083,64.52361123700223
1030,95.23550441610284,27.4214329867181,57.59672831512573,58.61271899870169
1031,91.6832400801861,7.732440033140851,48.247448137726884,48.659887977118736
1032,95.12726776495207,2.3835004799511745,48.66265864517913,71.79311096197056
1033,93.17882654671,38.15503032691079,41.090879589861416,33.75625454523713
1034,94.89924293235093,9.95415981710131,38.078536257826656,56.33216519113626
1035,95.17027760389783,19.187341611533185,57.825424047418835,56.86913752415397
1036,90.95859806080922,7.120697606232515,38.9611213557817,52.99148720152097
1037,93.72506115775077,16.96819740684502,45.06317319659875,71.54926390973303
1038,90.41580984963873,53.56661252761544,29.77534874311496,55.72374083615479
1039,93.46665540708764,16.295686896920287,45.38075005425767,52.64199549501575
1040,96.3200124315242,31.21592879152465,77.50979706573852,79.2507839183647
1041,96.52344779072193,35.3560989276368,67.9949184755305,72.71601004483395
1042,95.60671879900288,10.963030650333163,55.360921646598115,66.62936802469284
1043,96.32692109783008,5.002977715579902,39.92836566873396,77.04160310674372
1044,96.24285039583327,36.07431899585185,41.13892420352994,76.82024019367262
1045,96.10535166142785,13.568482287084624,62.88896598952787,73.88404633054773
1046,90.66172725786873,21.157482393243303,103.8464439046361,49.98972605222946
