minute,tegra,igpm
1028,18.47297576817949,13.65621418058805
1029,18.29018225035472,13.456422173492337
1030,18.408066213511244,13.42243489537632
1031,18.261196905912747,14.373863820967108
1032,18.35797734226565,13.685126348225872
1033,18.56536977982501,13.594511302009975
1034,18.482471742453082,14.1109578368137
1035,18.30352597045973,13.938209104093458
1036,18.377098286039512,15.764714145294679
1037,18.386070487404055,14.61131813068101
1038,18.291881939769922,13.278910512794155
1039,18.46395196046759,14.538208803442695
1040,18.223994568866342,13.532599188697235
1041,18.114375002015848,14.394733667039269
1042,18.153503464680913,13.129267118314077
1043,18.512047401072188,14.121771606601348
1044,18.541621875635364,13.952252724996908
1045,18.28068184013269,14.631282748735414
1046,18.174268881642647,13.965849152486834
1047,18.56419848553228,13.64894759595613
