,0
0,2.3835004799511745
1,5.002977715579902
2,7.120697606232515
3,7.732440033140851
4,9.95415981710131
5,10.59609632677408
6,10.963030650333163
7,13.568482287084624
8,15.090758598398853
9,16.295686896920287
10,16.96819740684502
11,19.187341611533185
12,21.157482393243303
13,27.4214329867181
14,29.77534874311496
15,31.21592879152465
16,33.75625454523713
17,35.3560989276368
18,36.07431899585185
19,38.078536257826656
20,38.15503032691079
21,38.9611213557817
22,39.92836566873396
23,41.090879589861416
24,41.13892420352994
25,45.06317319659875
26,45.38075005425767
27,45.88180873545183
28,48.247448137726884
29,48.659887977118736
30,48.66265864517913
31,49.98972605222946
32,52.64199549501575
33,52.99148720152097
34,53.56661252761544
35,55.360921646598115
36,55.72374083615479
37,56.33216519113626
38,56.86913752415397
39,57.59672831512573
40,57.825424047418835
41,58.61271899870169
42,59.70041733641083
43,62.88896598952787
44,64.52361123700223
45,66.62936802469284
46,67.9949184755305
47,68.67117417345096
48,71.54926390973303
49,71.79311096197056
50,72.71601004483395
51,73.88404633054773
52,76.82024019367262
53,77.04160310674372
54,77.50979706573852
55,79.2507839183647
56,90.41580984963873
57,90.66172725786873
58,90.95859806080922
59,91.6832400801861
60,93.17882654671
61,93.46665540708764
62,93.72506115775077
63,94.70799516953915
64,94.89924293235093
65,94.93344619795907
66,95.12726776495207
67,95.17027760389783
68,95.23550441610284
69,95.60671879900288
70,96.10535166142785
71,96.24285039583327
72,96.3200124315242
73,96.32692109783008
74,96.52344779072193
75,103.8464439046361
