minutes,dd-0-0.0.1,image_processing-0-0.0.1,model_training-0-0.0.1,pyaes-0-0.0.1
1028,0.023213763416099625,10.041805364841743,43.46826361722729,0.7810805643318176
1029,0.022224806111009562,10.573367335804097,47.58578126179565,0.8844863164956216
1030,0.020899805806112316,8.583516135297337,46.958947047587934,1.031854847661059
1031,0.03648207122861735,12.740994695447661,44.1731509369881,1.279995742378196
1032,0.021374593734933327,12.108401481625574,44.29687081646469,0.7032454050415933
1033,0.02992157260579525,16.33892732776771,42.04071502239435,1.65156850658003
1034,0.022374841218936015,13.00374675020019,41.14312994857656,1.0887129075470041
1035,0.02118592795365803,9.557322302694915,47.02709129713915,1.0753252799599973
1036,0.03966076605942211,10.984385935673961,41.40611298967744,1.172001654588662
1037,0.027525474824969687,9.819769756142248,43.22433556534916,0.7093249240834761
1038,0.04204174595699,18.161580625207453,38.66903707242313,1.1038819547744119
1039,0.028658990411865138,9.89930432193272,43.318963639178996,1.1807150733697467
1040,0.016142532655501286,8.134759466404788,52.89242517884211,0.5173130169708553
1041,0.015250148681907341,7.645121566007946,50.05728586688646,0.6802359714785458
1042,0.01927144696341181,10.529971787827964,46.292745863854634,0.8319862416705668
1043,0.016112227289145232,12.418194386657008,41.69432185644518,0.5723916274685921
1044,0.01648100952742775,16.092851660831876,42.0550308301735,0.5779105789294922
1045,0.017084157709025802,10.221837622548835,48.535870067325824,0.6511148532388631
1046,0.04096301139089658,14.328709532720513,60.739930755517946,1.246840632131543
