,1_pyaes_2000-0-0.0.1,3_pyaes_1000-0-0.0.1,4_pyaes_500-0-0.0.1,2_pyaes_1500-0-0.0.1
0,88.0,113.0,166.0,75.0
1,70.0,93.0,155.0,73.0
2,83.0,102.0,162.0,109.0
3,76.0,87.0,155.0,88.0
4,62.0,110.0,134.0,44.0
