minute,tegra,igpm
1114,18.735364327022403,13.343619023860667
1115,18.29205348524949,12.821243165981198
1116,18.423862675387536,12.434516727207624
1117,18.26004113348322,12.59890089466043
1118,18.491150322191164,12.728866852469444
1119,18.51206414517206,12.52422768991449
1120,18.551451839922873,12.499047516382007
1121,18.397619822981078,12.372344436570328
1122,18.373371567463508,12.62008230259989
1123,18.38515996093191,12.29833098811378
1124,18.354143860784554,12.500216798053714
1125,18.654381284786847,12.423196635514277
1126,18.297940249422055,12.79927942806225
1127,18.105384474482626,12.6875544458057
1128,18.254419452663758,12.555830506659465
1129,18.49581192677074,12.852029410443658
1130,18.435868035841068,12.395583211311
1131,18.538434137315537,12.3848847977245
1132,18.301244447076684,12.507203822607435
1133,18.327621685603518,12.235025727426747
