,image_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1
0,112.0,68.0,152.0
1,91.0,62.0,158.0
2,87.0,56.0,183.0
3,106.0,54.0,166.0
4,102.0,79.0,153.0
5,87.0,56.0,182.0
6,94.0,42.0,158.0
7,110.0,66.0,157.0
8,94.0,69.0,106.0
9,110.0,71.0,153.0
10,87.0,54.0,149.0
