minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1,cp
1239,0.6,1.1,0.31666666666666665,0.2833333333333333,0.0
1240,0.35,0.6666666666666666,0.38333333333333336,0.4666666666666667,0.0
1241,0.48333333333333334,0.8333333333333334,0.36666666666666664,0.45,0.0
1242,0.45,1.4166666666666667,0.5333333333333333,0.36666666666666664,0.0
1243,0.2833333333333333,1.3,0.5,0.31666666666666665,0.0
1244,0.36666666666666664,0.5833333333333334,0.4,0.6666666666666666,0.0
1245,0.55,0.6,0.3333333333333333,0.6666666666666666,0.0
1246,0.4166666666666667,0.8833333333333333,0.4666666666666667,0.35,0.0
1247,0.31666666666666665,1.0666666666666667,0.4,0.4,0.0
1248,0.3333333333333333,1.5166666666666666,0.5166666666666667,0.26666666666666666,0.0
1249,0.18333333333333332,0.9833333333333333,0.5,0.5666666666666667,0.0
1250,0.5666666666666667,0.8666666666666667,0.43333333333333335,0.4,0.0
1251,0.5,0.7833333333333333,0.5666666666666667,0.3,0.0
1252,0.26666666666666666,1.6333333333333333,0.5333333333333333,0.35,0.0
1253,0.65,1.1,0.31666666666666665,0.36666666666666664,0.0
1254,0.4,1.1666666666666667,0.35,0.6166666666666667,0.0
1255,0.5333333333333333,1.0,0.5,0.2,0.0
1256,0.2,0.6333333333333333,0.43333333333333335,0.43333333333333335,0.0
1257,0.5,0.9666666666666667,0.43333333333333335,0.43333333333333335,0.0
1258,0.18333333333333332,1.4833333333333334,0.5333333333333333,0.3,0.0
1259,0.05,2.05,0.5833333333333334,0.5666666666666667,0.0
1260,0.0,1.5166666666666666,0.7833333333333333,0.6,0.0
1261,0.0,2.1,0.31666666666666665,0.15,0.0
