minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,dd-0-0.0.1,pyaes-0-0.0.1,cp
1239,21.02328733942035,208.3903157383707,3.321018605714951,2.7077000768912067,0.0
1240,34.174179244281554,325.1524521658938,4.809911218906328,4.386627341768787,0.0
1241,30.259390338365723,245.16496234964092,4.29627622547519,3.9828636691309645,0.0
1242,19.6517601693864,203.14359819186333,2.9059846755996115,2.076880804107854,0.0
1243,19.005961670312804,168.7135729655585,3.125483407018269,2.4955309092712707,0.0
1244,33.44721546460337,361.77850841494046,4.826913377700063,4.665330065283294,0.0
1245,33.84941411154661,394.7652495183248,6.335647493831551,4.871382032865657,0.0
1246,25.52139048248167,298.1321066970925,4.184345994688822,3.473146068329699,0.0
1247,24.651413451092722,248.74800116835172,3.8938646968445765,3.048090249317404,0.0
1248,18.64152884713797,182.8716252741796,2.792455704470146,2.349671435162491,0.0
1249,27.703243414745963,273.7807679705002,4.555192176548452,3.420255882263833,0.0
1250,28.97687854196307,249.26938463132146,4.4169396153288965,3.6939609515840943,0.0
1251,30.554871601605896,281.9360253998469,4.636285816610029,3.703310409847915,0.0
1252,15.179284918856787,191.5558946258416,3.0148521024497117,2.1702896157596383,0.0
1253,20.718672140741724,210.48269758196318,3.351980548826955,3.011385323113448,0.0
1254,22.986753166681023,199.2881261376229,3.810427506100491,3.4709167603465785,0.0
1255,24.8520780588936,258.16160979813367,3.9280784801570228,3.1842412538128713,0.0
1256,37.37231414608453,349.4594093932511,5.694584093889395,5.718833704971168,0.0
1257,29.275591085721018,286.407844051374,4.285437250305631,3.790830620082268,0.0
1258,21.073351212876478,209.03280178091225,3.4851826891243087,2.887556404810716,0.0
1259,17.664319400598472,168.1295639677501,2.419267857423638,2.1516715593419766,0.0
1260,0.0,204.11324401924938,3.7941401334686375,2.8804778950086063,0.0
1261,0.0,129.64851847641586,1.9158501438515738,1.659595569570124,0.0
