,0
0,0.768418249125373
1,3.7069675070083545
2,6.483483917677213
3,6.519047800929174
4,7.25677208148954
5,7.863906829043529
6,21.842418569413486
7,26.086899394585604
8,34.94236749370114
9,36.77498650666131
10,41.75905945369502
11,42.4651862742105
12,42.820582797642295
13,44.818083250533505
14,44.877939626449646
15,46.05753364837177
16,47.81767962952008
17,48.31644732397269
18,48.538520207419836
19,53.93535994105936
20,72.53130406639534
21,74.45560975861429
22,74.96681474786966
23,75.64105038482893
24,75.7865304838931
