minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1
1359,0.5710560499999999,3.172707350000001,0.8089725999999998
1360,0.9695284499999999,5.301832349999999,0.7010745
1361,0.6859531333333334,3.7706357500000007,0.6020044166666666
1362,0.7338253,2.5662325999999993,0.51521695
1363,0.8858432666666667,4.430528399999998,0.6120478666666668
1364,0.5039736833333334,3.7567281000000006,0.6633845333333332
1365,0.52075825,3.032406583333333,0.4518727666666667
1366,0.61129145,3.1335514333333325,0.6956332500000001
1367,0.7182566333333332,3.8836226,0.7573906833333336
1368,0.6227785166666668,3.160729316666666,0.7470259833333334
1369,0.8891732500000002,4.115855250000001,0.6611241833333333
