,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1
0,59.0,217.0,82.0
1,98.0,358.0,72.0
2,67.0,257.0,65.0
3,75.0,176.0,56.0
4,91.0,305.0,63.0
5,52.0,254.0,67.0
6,57.0,208.0,48.0
7,61.0,215.0,80.0
8,71.0,262.0,79.0
9,66.0,218.0,73.0
10,89.0,286.0,67.0
