minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,image_processing-0-0.0.1
1076,,,,
1078,6.1289646935305555,,2.6775461446893356,4.607006067602045
1079,7.775885367012578,,6.185511633775666,10.45888990158608
1080,7.174146002286356,,6.964105978010877,9.289402121682235
1081,10.212089491707212,,9.273834689622728,8.20021583035238
1082,6.993629164155644,,6.046839639360871,7.451446494903144
1083,12.450613292222506,,5.021482755414398,9.001886268710534
1084,6.959217269228531,,5.365918351152195,9.333977474942724
1085,6.088585608250474,,6.343398051759587,7.611123680900625
1086,12.978999927073039,,6.839497924021684,7.277505485885919
1087,8.317754575757155,,4.479568375240597,8.805263644313705
1088,7.218724196113049,,6.549739757337086,7.361906324147505
1089,,,,
