minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,cp
1076,5.405914525431303,4.454346088054708,5.592382080914073,
1078,5.994013814265111,6.1142284318049995,7.56876743875356,
1079,6.71107098500681,7.183452363344614,5.985436189751294,
1080,6.381073415350826,5.985986345458274,5.556676067771712,
1081,6.836034397725159,8.061221666589576,8.566949192100568,
1082,4.846722359747743,4.468246611656345,6.760873180084374,
1083,5.752337556799376,6.953887389709583,6.050340093845081,
1084,5.571951717232342,5.3668331540148735,4.326630816500465,
1085,4.543858336782454,3.3358227982790996,4.084021409271771,
1086,5.390591675407308,5.777785041551518,6.747464736423013,
1087,5.708519243082323,6.573306046933649,4.898108917753907,
1088,,,,
