minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,image_processing-0-0.0.1
1076,37.68368394820789,,12.974945706151095,23.51471528550473
1078,51.43611790576882,,17.461880118902517,25.926591026341633
1079,60.20963391290266,,13.758398807559244,28.92182923805088
1080,51.256858298487025,,13.048802551419177,28.09384340651829
1081,68.31062227892492,,19.90915774353073,29.78466858280042
1082,39.840505642866795,,16.53216818643911,22.21963926234713
1083,60.623198708028255,,14.465395084176242,25.784381126730516
1084,47.61206129766533,,10.526598231840662,25.416010960977555
1085,31.081076132823643,,10.43567158015154,21.768024232004876
1086,50.33188868340682,,16.11987942625453,24.144567933906526
1087,57.58759572992848,,11.768276142506584,25.71400464849123
1088,,,,
