minute,perf_rapl,ipmi,x_rest
1078,72.3,207.0,134.7
1079,86.13416666666667,231.65,145.51583333333335
1080,86.51766666666667,233.01666666666668,146.499
1081,91.84152542372881,240.38983050847457,148.54830508474578
1082,89.08366666666666,235.91666666666666,146.833
1083,99.46016666666667,248.63333333333333,149.17316666666665
1084,92.81400000000001,240.25,147.436
1085,99.882,249.73333333333332,149.85133333333334
1086,109.53533333333333,259.8833333333333,150.34799999999998
1087,92.76916666666666,241.36666666666667,148.5975
1088,96.3815,246.1,149.7185
1089,103.66736842105263,252.57894736842104,148.9115789473684
