minutes,image_processing-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,cp
1076,10.904332938379879,9.502537168943718,11.02091049228897,
1078,12.022777102587956,12.97043099335791,14.832109680911511,
1079,13.411740323859384,15.182811876147817,11.686375049988973,
1080,13.027783594395675,12.92522784699285,11.083644448898628,
1081,13.811859456634187,17.225604272960926,16.910825712688254,
1082,10.303775374081889,10.046413886210768,14.042412966694458,
1083,11.956830988690113,15.287098782991873,12.286897230153754,
1084,11.786008978592777,12.006134612340832,8.941285730883989,
1085,10.094350739718395,7.837585136550109,8.86405269173884,
1086,11.19641059685475,12.691982122940937,13.692215160408688,
1087,11.924195741338218,14.52162346032451,9.995966145247039,
1088,,,,
