minutes,cnn_image_classification-0-0.0.1,cp,dd-0-0.0.1,image_processing-0-0.0.1
1076,17.664352919005562,,6.583925522186323,11.657617356479788
1078,24.246856151671114,,8.910728986413838,12.925827655512482
1079,28.487018119959203,,7.046669115404939,14.472129965677068
1080,23.738293631490414,,6.5418887428994035,13.760504693483034
1081,31.967939100834318,,10.085890881033148,14.741608079357407
1082,17.71947745351732,,7.959593038991154,10.451743999508778
1083,27.576645052404782,,7.123080645316496,12.404663415784357
1084,21.282952203505147,,5.093753367648872,12.015669271628507
1085,13.22868722349331,,4.808128700903209,9.798631029600738
1086,22.91264128259262,,7.943807244466113,11.624574303070391
1087,26.067394756112904,,5.766555976943787,12.31017114586101
1088,,,,
