minutes,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1,dd-0-0.0.1,image_processing-0-0.0.1
1023,40.044237665904454,16.737267776809357,7.372238938505125,27.56912195821967
1024,26.758937819403048,24.717242040299066,12.900967677348135,28.34431765193406
1025,26.704541586306156,28.602716098512765,15.914985602176573,25.146240547101975
1026,30.821138180061755,37.63872037018083,14.249291853634185,21.432380699444074
1027,32.62682723202209,29.77038295474245,10.553644451425223,25.84008326072755
1028,28.655796703156938,47.016890741903154,10.600459346029698,23.882126577901005
1029,31.738601955130253,38.35885729994527,14.440068576073767,25.164411078438448
1030,18.5718634697491,39.177557955897726,17.411714439549684,17.689890728242712
1031,25.94680478827667,46.231131971171656,12.490847072969661,21.040117184745583
1032,26.32357069573579,35.19679057364159,9.0417551681075,25.736526570473238
1033,43.40770244532981,31.61794548075976,10.43212923445847,21.804010668998064
1034,37.7327978518809,43.97407852200142,12.74222832869549,25.206223499627985
