minutes,cnn_image_classification-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1
28,23.72606380950416,7.3331726759811895,15.304080982122846
29,32.74839097092077,7.318037944793601,13.815281347371066
30,39.55191782016788,10.079720024382414,11.590854978108933
31,19.535802359323064,14.876636724078493,19.421082447162597
32,25.848454740520474,11.74608112591386,22.054959241030964
33,35.503420211674346,10.420320625317155,16.977255402226206
34,33.161681761923596,15.382590242186396,16.927318806954077
35,35.05257695571334,12.724699828881135,16.759174862796385
36,28.805532389577166,14.61873356831669,18.986534722068463
37,30.789094137505856,11.054942597576352,29.042267032771715
38,37.570063046218515,8.660745375851484,25.21294659758477
39,35.42517578827072,20.486738626353944,21.231159355168494
40,34.99774650495852,13.24396054961868,28.552509548045553
41,37.8525788847295,23.41638899337957,23.08615456891457
42,49.1617601360926,12.123408218826842,16.36983011465534
43,42.49798591778266,12.090655563444528,26.768924052601985
44,40.5866040655506,11.689876078015402,31.440046060437542
45,39.22640913133585,17.150356725442446,29.85454314662955
46,36.882136538795386,22.354134944243153,28.954009145353194
47,56.27753305628732,12.91179194881547,19.56860917335855
