minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,cnn_image_classification-0-0.0.1
28,2.7291652746778037,3.933708103759824,3.8170356532154024
29,2.7235326263516515,3.551032189084588,5.2685425161576465
30,3.7513397112714535,2.97927331998262,6.363090046657911
31,5.536594069894738,4.991927937092901,3.1429087740139603
32,4.371504414097707,5.668930528783823,4.1584846992432185
33,3.8781000336691682,4.3637750762917005,5.711770053689382
34,5.724893300423412,4.350939546361768,5.335032503585374
35,4.735714054222015,4.307720407851988,5.639238647054392
36,5.440611012078531,4.880233291091616,4.634217669802555
37,4.11428542378145,7.4649239841204755,4.953331955804145
38,3.2232440959720914,6.480648688832636,6.0442503776594
39,7.624489170093701,5.457183852150379,5.699182135347981
40,4.9289657871564865,7.339038412239694,5.630417555317752
41,8.714808517791813,5.93398541333347,6.089701365098897
42,4.511933126835669,4.207644578881413,7.9091160135512935
43,4.499743667556239,6.880591758345836,6.837051806842147
44,4.350586746975468,8.081240821647173,6.5295497814132135
45,6.38279774547266,7.673708630209684,6.310722393907794
46,8.319472557234864,7.442238481647998,5.933577152352883
47,4.805343577410943,5.029847697125278,9.05389751437857
