minute,perf_rapl,ipmi,x_rest
574,105.22309090909091,253.56363636363636,148.34054545454543
575,108.80216666666666,254.35,145.54783333333336
576,110.23366666666668,253.66666666666666,143.433
577,111.1175,259.18333333333334,148.06583333333336
578,112.85116666666666,259.06666666666666,146.2155
579,107.01116666666667,254.86666666666667,147.8555
580,108.74383333333334,254.25,145.50616666666667
581,116.73433333333334,264.75,148.01566666666668
582,113.83203389830508,262.64406779661016,148.8120338983051
583,110.05199999999999,255.11666666666667,145.06466666666665
584,111.89016666666666,258.5833333333333,146.69316666666666
585,111.15877192982457,258.0175438596491,146.85877192982457
