minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
572,1000.0,1000.0,1000.0,1000.0,1000.0
574,1000.0,1000.0,1000.0,1000.0,1000.0
575,1000.0,1000.0,1000.0,1000.0,1000.0
576,1000.0,1000.0,1000.0,1000.0,1000.0
577,1000.0,1000.0,1000.0,1000.0,1000.0
578,1000.0,1000.0,1000.0,1000.0,1000.0
579,1000.0,1000.0,1000.0,1000.0,1000.0
580,1000.0,1000.0,1000.0,1000.0,1000.0
581,1000.0,1000.0,1000.0,1000.0,1000.0
582,1000.0,1000.0,1000.0,1000.0,1000.0
583,1000.0,1000.0,1000.0,1000.0,1000.0
584,1000.0,1000.0,1000.0,1000.0,1000.0
585,1000.0,1000.0,1000.0,1000.0,1000.0
