minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
572,,,,,
574,,4.72760798924006,5.90054250452717,8.710609174509583,4.6618015103297195
575,,4.28367274153102,6.314937660278827,9.045844256772428,6.01442953854611
576,,4.504868498369693,6.412114149002638,7.043570899020528,5.3806707714399895
577,,4.400295679344858,5.0289458576057084,7.314568743432316,4.812606796843205
578,,4.779521157231001,5.56661662841289,5.673262034382058,4.6086489259295345
579,,4.411058997074095,7.739903741091351,8.741922360112369,5.5137573578965275
580,,5.120998952112727,6.212939477198017,7.452674374893136,4.73273338202263
581,,4.815089708086391,6.702852282402446,8.08048434814424,5.40513759217569
582,,5.165547761262568,6.363278320232875,8.20222386702854,5.522789423332024
583,,4.748276944912638,5.481073752970455,6.701356745486279,5.044632444620817
584,,5.370599385945048,5.760084990537128,6.444521442525711,4.497476912541316
585,,5.005612568525214,5.8985298073049,7.703064196045616,6.1486610858895405
