minutes,image_processing-0-0.0.1,video_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
572,4.799791183030487,4.589012061364205,8.205019475815833,3.3741729835125995,
574,7.201858160732597,8.009233553749551,12.649782961540625,3.554760679152559,
575,7.598452461703184,8.427250250673323,11.4544799567038,3.5230612559601275,
576,5.878212149807052,7.335862028635088,11.214884281186979,2.841939654400206,
577,8.77384005026488,6.7458388450570075,10.624454909521942,3.8958274959298893,
578,6.936090270731292,5.687418835075783,9.163652214596029,3.150992049671391,
579,6.952005324294542,9.863356084593343,12.926014624902338,3.6927500348495093,
580,5.975812172874423,5.782437086773976,13.633128122228612,3.6793321328608375,
581,5.7230000093936395,7.209229700871995,9.26109357047367,3.6173797208770795,
582,5.6454151493177545,7.0819556848561875,10.173098706238093,3.3787094946172407,
583,6.694025590980888,7.683092211929909,12.08169702233728,3.364212956995861,
584,5.2394092424517975,6.587177350822099,12.061135284662491,3.390653125204695,
585,,,,,
