minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
572,1000.0,1000.0,1000.0,1000.0,1000.0
574,1000.0,7.235411862306373,8.474614891427116,28.67276707631844,53.62197058608269
575,1000.0,15.94625897722418,16.092788118472782,33.624846177978505,98.19559361660777
576,1000.0,11.605980906866805,17.8792649013667,4.0473449695589,77.31111999341344
577,1000.0,13.657896909486917,7.548676279329576,8.05051418695701,58.591509773383244
578,1000.0,6.21677756382755,2.335775829427757,16.19480225915858,51.870414939793065
579,1000.0,13.44670030891847,42.28913306995639,29.135324189921413,81.69676867981201
580,1000.0,0.48366102424225005,14.217670089778439,10.090604999536314,55.95941328557965
581,1000.0,5.51885549028327,23.224147516922717,19.364588579551214,78.11738366788911
582,1000.0,1.3577927082175933,16.981474958384478,21.162919837854332,81.9944054812908
583,1000.0,6.829847956718877,0.7631695032799457,1.0078286911754624,66.23753184427744
584,1000.0,5.381292447182378,5.892466770811546,4.801789418001603,48.20692482060252
585,1000.0,1.7804375166171356,8.437613792644878,13.789353329299134,102.61897259832216
