minutes,cp,dd-0-0.0.1,image_processing-0-0.0.1,pyaes-0-0.0.1,video_processing-0-0.0.1
572,,,,,
574,,5.826641731114762,13.313803512271594,23.887099437108354,31.567385579980023
575,,5.279504226037896,14.248832058525045,24.806414445323103,40.726705301847566
576,,5.552121674539353,14.468098113449425,19.315581159304937,36.435208265433275
577,,5.423238663795402,11.347159514679207,20.058738420412435,32.588563469326466
578,,5.890623226978805,12.560343385709057,15.557783805136184,31.20746289287823
579,,5.436504145279728,17.464081910048645,23.97296957124033,37.33640399006629
580,,6.311484849692736,14.01868648002871,20.437465428528373,32.04770069821881
581,,5.934460449354472,15.124110739176599,22.15910842251585,36.60088532447766
582,,6.366389983759415,14.357906444107039,22.492954647820603,37.39756461467765
583,,5.8521156282598925,12.36732705972861,18.377127447229316,34.159724976655944
584,,6.619110250779666,12.99687947661711,17.67280811687383,30.454661684042467
585,,6.169274429678302,13.309262123860877,21.124109317156954,41.63565412830408
