minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
1210,2.316666666666667,2.0166666666666666,1.9833333333333334,2.65
1211,3.4,2.033333333333333,3.183333333333333,3.816666666666667
1212,2.5833333333333335,2.95,2.3666666666666667,4.233333333333333
1213,2.0166666666666666,1.5666666666666667,1.9666666666666666,3.0
1214,2.5833333333333335,2.066666666666667,2.216666666666667,5.516666666666667
1215,3.3,3.8666666666666667,2.9,5.716666666666667
1216,2.4,2.6333333333333333,1.7,5.316666666666666
1217,3.15,3.3,1.6333333333333333,5.3
1218,2.1,2.533333333333333,2.1,4.216666666666667
1219,2.6,2.3666666666666667,2.25,7.5
1220,2.283333333333333,2.066666666666667,2.533333333333333,7.933333333333334
1221,1.6666666666666667,1.6,1.5833333333333333,4.35
