minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
1210,4.074963312027839,5.086383055834596,1.5470069586466413,5.1337236347874375
1211,4.63725480143416,4.97914176917926,2.8746225833770964,7.958462164990615
1212,4.177612439234908,4.320548622162351,2.4990495246150415,7.717258746832242
1213,2.945491088073506,3.3280022121938604,2.4654788292922407,4.583824573596086
1214,3.377657512399473,3.5608067116465456,4.528257844778721,8.52018133531188
1215,3.9642154430394507,4.159489567498166,5.04326663276021,9.489117508730912
1216,3.061128422228463,3.3092289198158027,4.890805317171217,8.403934572981774
1217,2.957144573964357,3.3966731650131803,4.34466899058792,7.971397882138789
1218,4.000018370945028,2.4610185471413604,3.6829438244230492,9.194287012460391
1219,4.588477730388395,2.9629237943913873,5.677200833080339,13.222331722028862
1220,3.9745094519111643,2.8496773878620987,4.975802643836069,13.070127452770244
1221,4.362794393835302,2.699227072574396,6.0508816904818135,17.217723671009605
