minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
1210,1.4141612000000001,1.273390366666667,0.96425035,1.9885219166666672
1211,2.370459266666667,1.3392351833333334,1.9389283833333333,3.0482242499999996
1212,1.7810673499999996,1.9482315166666666,1.2843772500000006,3.391909366666667
1213,1.1872392333333333,1.004416416666667,0.8181118666666666,2.1973659499999996
1214,1.7202976166666668,1.3848601499999995,1.17435635,4.689876816666667
1215,2.4683984333333346,2.765675183333333,1.7635816333333332,4.877952583333333
1216,1.6016251166666664,1.8065044166666662,0.909053183333333,4.5123236333333345
1217,2.1385831166666662,2.3156557500000003,0.9119122000000002,4.443518133333333
1218,1.4184094166666665,1.6083294166666664,1.1413024833333338,3.588603883333333
1219,1.8648455500000005,1.6755885,1.4138306333333337,6.8223237
1220,1.5928016,1.4706393166666665,1.5846566333333336,7.254588083333333
1221,1.238636966666667,1.12481475,1.0307534666666667,4.060150366666666
