minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
1210,12.436890618077408,21.160107181347254,6.447553475859885,14.002837204896498
1211,16.03131234371268,23.315502659190138,9.323772002348777,19.39767593913463
1212,15.311520044161824,22.605554474949457,6.4535403317237305,17.514222691572424
1213,12.054759004550831,19.44903687468235,5.699026473373876,11.047141932023498
1214,14.223525114337093,23.226480356942943,8.378321010703198,20.691185519766545
1215,16.787644883776647,27.24661482734958,10.037786873090894,25.244346569703847
1216,14.1291503013469,22.26140694545946,7.937350027468502,21.93046419672439
1217,14.737830917449774,22.108299473401495,7.660447202458083,20.539526797639304
1218,13.747801311856342,17.593941226315028,7.072219476902828,24.70657962219222
1219,16.438269557382085,23.147249804297044,9.332785580353942,35.906613213309974
1220,14.957814840011165,22.77705272274578,8.569402250690008,38.11958866974272
1221,16.88144677541899,23.76832637821484,7.439956536947057,46.295037877838354
