,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1
0,139.0,121.0,119.0,159.0
1,204.0,122.0,191.0,229.0
2,155.0,177.0,142.0,254.0
3,121.0,94.0,118.0,180.0
4,155.0,124.0,133.0,331.0
5,198.0,232.0,174.0,343.0
6,144.0,158.0,102.0,319.0
7,189.0,198.0,98.0,318.0
8,126.0,152.0,126.0,253.0
9,156.0,142.0,135.0,450.0
10,137.0,124.0,152.0,476.0
11,100.0,96.0,95.0,261.0
