seconds,VDD_GPU_SOC_current,VDD_CPU_CV_current,VIN_SYS_5V0_current,VDDQ_VDD2_1V8AO_current,tegra,igpm,voltage,current,power_factor,discard,load_avg_1minute,cpu_pct,cpu_pct_process
69846,4.757,2.377,4.313,1.103,12.549999999999999,15.149487764865865,121.17,0.14972,0.8065,0.0,3.24,,0.0
69847,4.757,2.377,4.313,1.103,12.549999999999999,14.458801512340894,121.19,0.15741,0.8318,0.0,3.24,,0.0
69848,4.757,2.377,4.213,1.103,12.504337899543378,13.778153643112244,121.2,0.14021,0.7932,0.0,3.24,,0.0
69850,4.757,2.377,4.32,1.105,12.525917883932097,12.614416328529593,121.24,0.12681,0.7139,0.0,3.24,8.0,0.0
69851,4.757,2.377,4.226,1.107,12.504671667087376,12.314498960479952,121.25,0.17924,0.4523,0.0,3.24,,0.0
69852,4.757,2.377,4.22,1.103,12.488463264619185,14.992316700411248,121.15,0.25349,0.7534,0.0,3.24,,0.0
69853,4.759,2.378,4.313,1.103,12.509561843966578,13.848369539768738,121.22,0.1379,0.7847,0.0,3.24,,0.0
69854,4.759,2.378,4.414,1.103,12.555544074884377,13.789150126498473,121.17,0.23633,0.5956,0.0,3.24,8.0,0.0
69855,4.759,2.378,4.32,1.103,12.556937064577703,14.393950945372284,121.17,0.13976,0.7358,0.0,3.24,8.0,0.0
69856,5.156,2.378,4.521,1.105,12.743115011392884,13.824327821983886,121.19,0.14733,0.8002,0.0,3.2150000000000003,,0.0
69857,4.759,2.378,4.629,1.107,12.782866525290055,12.04580471005833,121.25,0.16806,0.412,0.0,3.1900000000000004,,0.0
69858,4.759,2.378,4.622,1.105,12.807548193765,13.988749210885004,121.19,0.23342,0.5716,0.0,3.165,,0.0
69859,4.759,2.378,4.622,1.103,12.824043557583163,13.44174278553349,121.2,0.13761,0.7829,0.0,3.14,9.0,0.0
69860,4.759,2.378,4.521,1.103,12.805001341605875,14.488885742806595,121.24,0.17223,0.427,0.0,3.14,9.0,0.0
69861,4.759,2.378,4.622,1.103,12.822182507767277,12.619399566847862,121.26,0.18437,0.4789,0.0,3.1375,,0.0
69862,4.759,1.981,4.428,1.004,12.626477369911244,14.505253536000172,121.15,0.23578,0.7551,0.0,3.135,,0.0
69863,4.759,1.189,4.019,0.803,12.068235518048592,13.947971373993644,121.21,0.13815,0.785,0.0,3.1325,,0.0
69864,4.757,1.188,4.113,0.802,11.705173647747532,13.895601726895872,121.18,0.23575,0.5814,0.0,3.13,8.0,0.0
69865,4.759,2.378,4.313,1.003,11.92977757708815,12.127848134627698,121.23,0.20055,0.4492,0.0,3.13,8.0,0.0
69866,4.759,1.982,4.313,1.103,11.997998739173028,13.362487537124112,121.19,0.23014,0.5228,0.0,3.1275,,0.0
69867,4.759,2.775,4.313,1.103,12.283758727480711,14.1633822576635,121.18,0.24439,0.5491,0.0,3.125,,0.0
69868,4.757,2.377,4.226,1.105,12.338152376179758,11.943997480065006,121.24,0.16908,0.4093,0.0,3.1225,,0.0
