seconds,perf_rapl,energy_ram,retired_instructions,ipmi,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process,x_rest
62624,21.72,11.0,205137216.0,184.0,379053108120.0,29298001.0,0.134059,8.0,50.357157,2.51,1.0,5.5,162.28
62625,20.76,10.27,226451015.0,160.0,379082406121.0,39568655.0,0.15073853333333334,9.0,29.298001,2.51,1.0,5.0,139.24
62626,29.87,21.36,2851521959.0,100.0,379121974776.0,38652664.0,0.1674165,10.0,39.568655,2.55,0.0,4.9,70.13
62627,24.64,16.24,1640658812.0,150.0,379160627440.0,32974740.0,0.18409756666666668,11.0,38.652664,2.55,0.0,4.6,125.36
62628,20.32,9.32,139102441.0,145.0,379193602180.0,36244049.0,0.20077915,12.0,32.97474,2.55,2.0,4.5,124.68
62629,41.57,28.16,5268488429.0,106.0,379229846229.0,72283905.0,0.21745576666666666,13.0,36.244049,2.55,2.0,4.4,64.43
62630,33.08,18.04,2312431439.0,142.0,379302130134.0,34712490.0,0.23413389999999998,14.0,72.283905,2.55,2.0,4.2,108.92
62631,41.3,24.65,4215006976.0,125.0,379336842624.0,80949025.0,0.25081023333333335,15.0,34.71249,2.55,2.0,4.0,83.7
62632,40.56,25.88,3271157172.0,154.0,379417791649.0,39492346.0,0.2674826,16.0,80.949025,2.51,2.0,4.1,113.44
62633,41.45,27.74,3840722775.0,177.0,379457283995.0,79587559.0,0.28415778333333336,17.0,39.492346,2.51,2.0,4.0,135.55
62634,41.19,26.11,3215765589.0,151.0,379536871554.0,40527160.0,0.30082763333333334,18.0,79.587559,2.51,3.0,3.9,109.81
62635,38.11,26.33,3186314789.0,191.0,379577398714.0,75417649.0,0.31750513333333336,19.0,40.52716,2.51,3.0,3.8,152.89
62636,47.64,31.05,5191264196.0,144.0,379652816363.0,52143541.0,0.33418196666666666,20.0,75.417649,2.55,3.0,3.7,96.36
62637,44.23,27.88,3672681988.0,197.0,379704959904.0,93457608.0,0.3508470833333333,21.0,52.143541,2.55,17.0,3.9,152.77
62638,71.25,33.9,13879514171.0,132.0,379798417512.0,100956660.0,0.3675225,22.0,93.457608,2.55,17.0,4.3,60.75
62639,70.0,34.76,10831622540.0,192.0,379899374172.0,108411153.0,0.38420461666666667,23.0,100.95666,2.55,34.0,4.7,122.0
62640,73.91,35.24,15733729792.0,216.0,380007785325.0,112580885.0,0.40089373333333334,24.0,108.411153,2.55,34.0,5.0,142.09
62641,82.42,36.05,24232494499.0,217.0,380120366210.0,126304032.0,0.4175659,25.0,112.580885,3.14,33.0,5.3,134.57999999999998
62642,90.02,35.64,39402518888.0,227.0,380246670242.0,142730024.0,0.4342366833333333,26.0,126.304032,3.14,33.0,5.4,136.98000000000002
62643,103.06,36.56,51810075177.0,237.0,380389400266.0,144776198.0,0.45090436666666667,27.0,142.730024,3.14,58.0,5.8,133.94
62644,91.81,36.55,41122060282.0,246.0,380534176464.0,148397882.0,0.4675788,28.0,144.776198,3.14,58.0,6.1,154.19
62645,119.83,37.7,82239614910.0,253.0,380682574346.0,182778077.0,0.48425441666666663,29.0,148.397882,4.57,67.0,6.3,133.17000000000002
62646,120.64,36.43,90289294629.0,256.0,380865352423.0,170251661.0,0.5009306166666667,30.0,182.778077,4.57,67.0,6.5,135.36
62647,118.27,35.85,77720771640.0,272.0,381035604084.0,184284180.0,0.5176100499999999,31.0,170.251661,4.57,63.0,6.7,153.73000000000002
62648,121.58,36.48,80701484592.0,265.0,381219888264.0,168651168.0,0.5342932666666667,32.0,184.28418,4.57,63.0,6.6,143.42000000000002
62649,110.98,34.8,66991312355.0,273.0,381388539432.0,168728856.0,0.5509778333333333,33.0,168.651168,4.57,43.0,6.6,162.01999999999998
62650,122.81,35.84,79982543300.0,266.0,381557268288.0,184518504.0,0.5676580333333334,34.0,168.728856,4.57,43.0,6.5,143.19
62651,128.15,37.82,87945144797.0,264.0,381741786792.0,186271320.0,0.5843386166666666,35.0,184.518504,5.49,60.0,6.5,135.85
62652,123.74,34.99,91660663958.0,271.0,381928058112.0,179576957.0,0.6010186,36.0,186.27132,5.49,60.0,6.5,147.26
62653,115.49,35.94,79337563993.0,273.0,382107635069.0,168823459.0,0.6176998666666667,37.0,179.576957,5.49,59.0,6.5,157.51
62654,114.07,36.83,70884271425.0,265.0,382276458528.0,164326579.0,0.6343785333333333,38.0,168.823459,5.49,59.0,6.7,150.93
62655,104.85,36.15,58042910711.0,267.0,382440785107.0,142020265.0,0.6510576666666666,39.0,164.326579,5.93,39.0,6.6,162.15
62656,87.35,34.35,43853967623.0,262.0,382582805372.0,119677102.0,0.6677484166666667,40.0,142.020265,5.93,39.0,6.6,174.65
62657,80.53,33.78,36289392494.0,240.0,382702482474.0,127785408.0,0.68442045,41.0,119.677102,5.93,22.0,6.6,159.47
62658,101.37,34.41,61961534274.0,229.0,382830267882.0,160287270.0,0.7010923666666666,42.0,127.785408,5.93,22.0,6.5,127.63
62659,106.04,36.29,64843137242.0,243.0,382990555152.0,156621600.0,0.7177571500000001,43.0,160.28727,5.93,51.0,6.5,136.95999999999998
62660,111.0,36.44,65433450978.0,248.0,383147176752.0,163848768.0,0.7344371666666666,44.0,156.6216,5.93,51.0,6.6,137.0
62661,114.17,37.53,76529210570.0,251.0,383311025520.0,173123437.0,0.7511116833333333,45.0,163.848768,6.82,68.0,6.6,136.82999999999998
62662,124.45,36.98,92641472019.0,260.0,383484148957.0,186322067.0,0.76780985,46.0,173.123437,6.82,68.0,6.8,135.55
