minutes,cnn_image_classification-0-0.0.1,cp,image_processing-0-0.0.1,pyaes-0-0.0.1
1040,33.86887820535533,,24.075882520972137,19.31662187384942
1042,45.334744812368086,,26.984476217715343,32.004746517150096
1043,54.15688806941439,,32.32596259898194,35.13069585208754
1044,44.8827398195907,,30.42403757286573,29.116572446678877
1045,63.61061547928069,,32.363165258278194,37.564760662068046
1046,36.901280002165834,,23.364098381209022,24.606656779342796
1047,54.12588880550511,,28.188531082225538,28.224497305542034
1048,45.52927560191157,,28.127719209795117,29.200778220619657
1049,28.288880503555397,,22.738829373866025,20.89474204399362
1050,39.96544886779415,,23.46046664791415,25.377507755729948
1051,51.169792030419416,,25.76690050559117,20.109319954956945
1052,51.49267263208028,,26.740156863348506,27.835525291674056
