minutes,cnn_image_classification-0-0.0.1,cp,image_processing-0-0.0.1,pyaes-0-0.0.1
1040,,,,
1042,33.698674513149676,,12.482183901295043,20.719819579733784
1043,29.172174278686356,,17.179042267969056,19.45796579489354
1044,30.518979030439564,,12.850728143346789,13.166592093210328
1045,31.07702781173955,,15.182169991772383,21.980647288640153
1046,31.123008615820897,,16.730432823485728,18.841609760249302
1047,35.70050102473685,,14.88390900603467,20.283650431906523
1048,33.225111110607536,,16.45134208564323,19.32945477467736
1049,20.549097118909472,,18.086302137778677,18.637176085087425
1050,32.65722724963777,,14.058115762242078,26.25069440219852
1051,32.11221393181,,16.17563767545964,23.289350651695447
1052,29.629674991387848,,17.199279714926327,26.59121544745559
1053,,,,
