minutes,cnn_image_classification-0-0.0.1,cp,image_processing-0-0.0.1,pyaes-0-0.0.1
1040,,,,
1042,9.369621527631654,,5.831693163381291,7.891744156960709
1043,8.111067752019272,,8.026071730697643,7.411130549533741
1044,8.485535026410712,,6.003877530617999,5.014878426852244
1045,8.640695606174663,,7.09313030848117,8.371966953612292
1046,8.653480166339197,,7.8164807928369795,7.17637347955574
1047,9.92621186978983,,6.953782373441571,7.7256164882053735
1048,9.237951368040482,,7.686089223484258,7.362183400694277
1049,5.71349661434301,,8.4499447662191,7.098508985840613
1050,9.080056230448035,,6.567970655534412,9.99833822719865
1051,8.928520047220044,,7.557279750983626,8.870424581529491
1052,8.238271821276122,,8.035526693226497,10.128035542317074
1053,,,,
