minute,perf_rapl,ipmi,x_rest
1042,97.1415,241.375,144.2335
1043,96.13533333333334,241.83333333333334,145.69799999999998
1044,98.85266666666666,243.23333333333332,144.38066666666666
1045,93.18203389830508,239.89830508474577,146.71627118644068
1046,110.6905,256.55,145.8595
1047,106.623,255.06666666666666,148.44366666666667
1048,107.44883333333334,253.0,145.55116666666666
1049,108.07566666666666,254.36666666666667,146.291
1050,120.44283333333333,269.35,148.90716666666668
1051,107.55783333333333,254.31666666666666,146.75883333333334
1052,106.77033333333334,253.85,147.07966666666667
1053,109.98473684210526,256.1578947368421,146.17315789473685
