minutes,video_processing-0-0.0.1,pyaes-0-0.0.1,image_processing-0-0.0.1
1340,9.52798176586817,14.086682612256991,12.801512403474822
1341,16.133910276479416,14.30055145237501,7.420750915529414
1342,12.830607180043861,10.331984180425607,5.178016147974037
1343,16.183051216281346,9.654457488521638,9.09464030721478
1344,24.2507149213853,7.436456088529307,7.676720101976914
1345,17.281097140831505,7.923284050464203,11.0756269509624
1346,26.22514947855839,9.730966435170794,7.113270837904551
1347,18.131435048704603,12.11412518204754,9.371746559917655
1348,19.013502755883653,13.106766331278388,8.645917420073175
1349,19.423133418520614,18.29201411404269,10.101383962847445
1350,19.107933109636427,9.995864478254806,7.540300303751275
1351,11.711900695267516,18.771576882268366,8.180832153500727
