seconds,igpm,voltage,current,power_factor,discard,rapl_uj,rapl_uj_diff,minute,second,rapl_pw,load_avg_1minute,cpu_pct,cpu_pct_process
47311,29.43629411764706,120.66,0.32484999999999997,0.7718,0.0,137486069892.0,6948198.0,0.38345495,23.0,6.961218,0.25,1.0,1.6
47312,18.275277515048806,120.675,0.22747,0.5301,0.0,137491281040.5,4443945.75,0.3959617125,23.75,6.951453,0.25,1.0,1.6
47313,19.225228445503227,120.7125,0.235075,0.5846,0.0,137495724986.25,5691520.5,0.4126330958333333,24.75,4.44394575,0.32,1.5,1.6
47314,19.606300344404183,120.7,0.2608525,0.591475,0.0,137501416506.75,6955709.25,0.4293174458333333,25.75,5.691520499999999,0.39,2.0,1.6
47315,19.20793218247516,120.695,0.2663125,0.60135,0.0,137508372216.0,7221484.5,0.44599527083333335,26.75,6.95570925,0.39,2.0,1.6
47316,18.842376869072176,120.7025,0.27003,0.631125,0.0,137515593700.5,6389060.25,0.46266843333333335,27.75,7.2214845,0.39,2.0,1.6
47317,17.739809686790217,120.75,0.2011175,0.49505,0.0,137521982760.75,3947283.5,0.47933923749999996,28.75,6.38906025,0.41500000000000004,1.5,1.6
47318,19.370022866426908,120.725,0.21709,,0.0,137525930044.25,6012012.25,0.4960222541666667,29.75,3.9472835,0.44,1.0,1.6
47319,20.063077336277217,120.77,0.2713275,0.594275,0.0,137531942056.5,6847500.0,0.5127003083333332,30.75,6.01201225,0.44,1.5,1.6
47320,18.601973813416606,120.7825,0.25198750000000003,0.55175,0.0,137538789556.5,6963098.75,0.52937375,31.75,6.8475,0.44,2.0,1.525
47321,18.199292771499948,120.735,0.26086,0.5999,0.0,137545752655.25,6138306.5,0.5460493708333333,32.75,6.96309875,0.44,1.5,1.5
47322,17.36656631805057,120.8425,0.19436,0.48815,0.0,137551890961.75,4235227.25,0.5627184249999999,33.75,6.1383065000000006,0.44,1.0,1.5
47323,19.938759073486395,120.78,0.2666475,0.575725,0.0,137556126189.0,6032619.75,0.5794035416666665,34.75,4.23522725,0.46499999999999997,1.5,1.5
47324,18.974757627598162,120.775,0.234905,0.5776749999999999,0.0,137562158808.75,7929123.75,0.5960818916666666,35.75,6.03261975,0.49,2.0,1.5
