minutes,pyaes-0-0.0.1,video_processing-0-0.0.1,image_processing-0-0.0.1,dd-0-0.0.1
1200,44.09041009774883,59.284072467463034,4.700487822584862,23.252837069895605
1201,28.537029328131332,28.11749980983181,21.807055211204762,11.7672619504766
1202,31.380573245312185,25.33710045626112,20.014657416942534,12.17783004784413
1203,33.03181219548687,25.295286068234287,21.864739877089878,14.33144808838144
1204,36.33330823666541,39.12539589712532,15.727814434483678,10.5778592961405
1205,37.80752827001871,28.144308930810375,20.362129931410706,11.545260631566915
1206,30.16028571602044,21.425814445818954,23.01660131485711,11.152576100162594
1207,23.605244210189216,33.47581914237257,19.58746884557194,7.53270761811561
1208,29.21998559685286,31.811591022873746,21.27634196720411,8.809568868647341
1209,32.21961629931359,30.966262746188217,23.668473857898974,10.917951750573339
1210,32.293792553790475,31.775083541775455,22.42802101330927,9.769228992987394
1211,25.63109161957179,34.21547048361776,24.052147558833692,9.274943926076126
1212,31.929450981543628,30.4337716259687,23.566657463234797,9.373093760455372
