minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1068,13.234670997642011,7.301731593105407,7.3452126865127045,0.0
1070,13.873297984083605,8.752720812367896,10.534351207383054,0.0
1071,13.66000378962233,9.488344329779638,13.00906280070161,0.0
1072,14.726010421574125,8.877827678941335,11.995993833753737,0.0
1073,15.249729464975045,9.80975997615861,15.525694664217207,0.0
1074,14.83871771525532,9.626285101699967,13.96089123316193,0.0
1075,14.108207627190604,9.606520766368847,16.44182349463191,0.0
1076,17.03621300302687,10.540247211976341,18.282214771500424,0.0
1077,15.815549590895985,10.924971893736721,24.731157317856628,0.0
1078,14.113649674745178,9.611655904054537,22.600488080942302,0.0
1079,13.368024146476017,9.365097860565827,18.59876724290957,0.0
1080,14.338544523700513,10.84651835011075,22.080214490437097,0.0
1081,13.941539005499486,9.586950975926701,25.41702504364463,0.0
1082,13.754059277680575,12.964129953236926,17.88529094758733,0.0
1083,0.0,6.294839027205541,0.0,0.0
