minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1068,1.4552122999999995,1.2232728333333331,1.3573682,0.0
1070,1.0833333333333333,1.4833333333333334,1.2833333333333334,0.0
1071,1.0833333333333333,1.7166666666666666,1.9333333333333333,0.0
1072,1.3166666666666667,1.6166666666666667,1.5,0.0
1073,1.2666666666666666,2.0,2.033333333333333,0.0
1074,1.8666666666666667,2.283333333333333,2.1166666666666667,0.0
1075,1.2833333333333334,1.9666666666666666,2.0,0.0
1076,0.9666666666666667,1.3166666666666667,2.4,0.0
1077,1.45,1.6333333333333333,2.1333333333333333,0.0
1078,1.55,1.7833333333333334,3.1,0.0
1079,1.2833333333333334,1.3,2.066666666666667,0.0
1080,1.3666666666666667,2.7,2.55,0.0
1081,1.65,1.7333333333333334,2.9833333333333334,0.0
1082,0.8666666666666667,1.9833333333333334,1.8666666666666667,0.0
1083,0.0,0.23333333333333334,0.016666666666666666,0.0
