minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1068,10.761326773648666,5.686158331370225,8.26337560945618,0.0
1070,15.733299597295007,9.506564263914237,16.529067001744313,0.0
1071,15.336468924598032,10.202471969135534,20.20789227486472,0.0
1072,16.795189298048,9.697212775763399,18.92938403445028,0.0
1073,17.55898174626833,10.817726165470692,24.733676584075074,0.0
1074,16.068893980800926,9.983636190087594,20.917183413887184,0.0
1075,17.881580562833506,11.661129047676978,28.83264545289464,0.0
1076,17.030406762172973,10.09120830126248,25.286062951220334,0.0
1077,17.727669068728172,11.728111613049782,38.354138873281855,0.0
1078,15.809093162618797,10.311129814337091,35.02562490544552,0.0
1079,15.423331106712896,10.348173342483559,29.688999940250596,0.0
1080,16.797337488916188,12.169315438648642,35.78813899558919,0.0
1081,15.43817698436695,10.167313577844872,38.941301529844715,0.0
1082,15.724435336308428,14.19475683809827,28.29050013636487,0.0
1083,0.0,9.703479196879037,0.0,0.0
