minutes,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
1068,1.4552122999999995,1.2232728333333331,1.3573682,0.0
1070,0.6349661999999999,0.6251885333333334,0.8186541333333335,0.0
1071,0.6712885500000001,0.6821880833333335,1.2998033499999997,0.0
1072,0.7828552833333335,0.6330985500000001,1.0429118166666662,0.0
1073,0.8010600833333332,0.8813925999999997,1.5204587666666667,0.0
1074,1.2083107333333334,1.06852725,1.5477433833333334,0.0
1075,0.7688912333333334,0.9188343166666667,1.5869051166666666,0.0
1076,0.5880304500000002,0.57918965,1.8332921166666671,0.0
1077,0.8517163500000003,0.7443865999999998,1.7532302,0.0
1078,0.9741941166666668,0.8665148500000001,2.566669816666666,0.0
1079,0.7466138999999998,0.5206073166666668,1.5250619166666666,0.0
1080,0.9495107999999999,1.4869645666666669,2.1518004666666664,0.0
1081,0.9767387166666667,0.8071675166666664,2.5357121333333335,0.0
1082,0.5475624499999999,1.0133592333333332,1.4680254833333328,0.0
1083,0.0,0.18728356666666668,0.009435166666666666,0.0
