,image_processing-0-0.0.1,dd-0-0.0.1,cnn_image_classification-0-0.0.1,cp
0,87.31273799999997,73.39636999999999,81.442092,0.0
1,38.097972,37.511312000000004,49.119248000000006,0.0
2,40.27731300000001,40.93128500000001,77.98820099999998,0.0
3,46.97131700000001,37.98591300000001,62.57470899999998,0.0
4,48.063604999999995,52.883555999999984,91.227526,0.0
5,72.498644,64.111635,92.864603,0.0
6,46.13347400000001,55.130059,95.21430699999999,0.0
7,35.281827000000014,34.751379,109.99752700000003,0.0
8,51.10298100000002,44.663195999999985,105.193812,0.0
9,58.45164700000001,51.990891000000005,154.00018899999995,0.0
10,44.79683399999999,31.236439000000008,91.503715,0.0
11,56.97064799999999,89.21787400000001,129.108028,0.0
12,58.604323,48.430050999999985,152.142728,0.0
13,32.853747,60.801553999999996,88.08152899999997,0.0
14,0.0,11.237014,0.56611,0.0
