minutes,image_processing-0-0.0.1,pyaes-0-0.0.1,dd-0-0.0.1,cp
1102,8.000682637783957,7.814814505838387,7.6271555475979556,
1104,14.242751088984612,12.44909864177193,9.646139421217084,
1105,14.095104426015999,10.832513522230034,8.517004678787272,
1106,13.648212121125539,15.360493501383422,9.16888380928851,
1107,14.88942493597786,15.522816885972203,7.691082717174598,
1108,9.027288690662811,12.178938669178045,6.089872414618853,
1109,13.883547852367045,13.580367197733441,7.697389204468421,
1110,19.90779025345727,15.384581384944482,11.425616305880267,
1111,13.930040437534508,16.810371469419877,9.864851724931928,
1112,11.534556105217995,14.896732632669137,9.224266980243463,
1113,13.502472971528427,13.897384955893669,11.356582408199964,
1114,12.93496773925502,10.84066241753502,6.462016571040686,
1115,10.368207095470094,9.156485760697079,8.15560513910775,
1116,20.266540995794408,17.93849619372751,11.11202929551384,
